Atom,Δx,Δy,Δz,Δr
27,0.009010346883333575,-0.0058545884499991985,-0.0018918414250030935,0.010910619636584388
9,-0.015394732616666573,0.0019029248499995433,-0.006071380725000353,0.016657748324167623
29,-0.018579139416666557,-0.000882690149999199,-0.012212867325001042,0.022251240227522524
63,-0.01904132861666674,0.04194687614999992,-0.01611800522499962,0.048804740616710994
11,-0.018601517216666696,-0.03853438394999986,-0.014060971025003255,0.04504027192784182
28,-0.049092093616666665,-0.006012326349999597,0.12618531977499714,0.13553197648719192
65,0.03916373118333327,0.025944747149999614,-0.028570346925004486,0.054983565438164496
45,0.035371040483333616,-0.02339080235000024,-0.03209964532500109,0.05318484153817953
10,0.0014671080833332795,-4.115604999990929e-05,-0.004929625625003098,0.005143472440999429
47,0.008744562883332918,0.0062439901500002115,0.0023724249749967896,0.011003780862769484
64,0.024857558483333264,-0.0004358595499995843,-0.009466802025002607,0.02660279173094908
46,0.0020944634833330866,-0.0008867314499999093,-0.003136259125003704,0.0038741697493274233
